PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Yang, EJ; Lee, Y; Lee, S				Yang, Eun Jin; Lee, Youngju; Lee, SangHoon			Trophic interactions of micro- and mesozooplankton in the Amundsen Sea polynya and adjacent sea ice zone during austral late summer	PROGRESS IN OCEANOGRAPHY												To elucidate the trophic link between micro- and mesozooplankton in the Amundsen Sea polynya (ASP) and adjacent sea ice zone, we estimated the impact of microzooplankton grazing on major phytoplankton groups, as well as the diet composition, ingestion rate, and prey selectivity of two copepods and Euphausia crystallorophias larvae on microbial communities during the late summer. Phaeocystis antarctica, which was ingested by micro-and mesozooplankton, comprised most phytoplankton biomass. Herbivorous microzooplankton consumed at least half of the phytoplankton production, but the microzooplankton grazing may not contribute strongly to the decline of the phytoplankton bloom. Three mesozooplankton species (Calanoides acutus, Metridia gerlachei, and E. crystallorophias larvae) preferentially grazed on ciliates and heterotrophic dinoflagellates (HDF) with sizes from 20 to > 100 mu m over phytoplankton. Although microzooplankton comprised only an average of 41.7 +/- 3.2% of the total carbon available in the natural prey pool, they accounted for an average of 75.4 +/- 2.9% of total carbon ingested by copepods and krill larvae. Heterotrophic food sources made up a substantial proportion of mesozooplankton diets, with strong positive selection for microzooplankton at most locations regardless of phytoplankton size and type. In particular, HDF comprised the major dietary component of mesozooplankton in the study area. The presence of mesozooplankton reduced the grazing pressure on P. antarctica and diatoms through predation on herbivorous microzooplankton. Approximately half of the primary production capacity may have indirectly reached mesozooplankton through microzooplankton consumption. Thus, strongly selective feeding behavior and higher grazing pressure on microzooplankton indicated the importance of microheterotrophic pathways through strong trophic coupling between mesozooplankton and the microbial food web during the decline of phytoplankton bloom. In the highly productive ASP system, food web structure can be classified as multivorous, whereby herbivorous and omnivorous modes both play significant roles in carbon export, enhancing the efficiency of the pelagic food web.																	0079-6611					MAY-JUN	2019	174				SI		117	130		10.1016/j.pocean.2018.12.003							WOS:000471364200012						
J	Riaz, J; Bestley, S; Wotherspoon, S; Freyer, J; Emmerson, L				Riaz, Javed; Bestley, Sophie; Wotherspoon, Simon; Freyer, Julien; Emmerson, Louise			From trips to bouts to dives: temporal patterns in the diving behaviour of chick-rearing Adelie penguins, East Antarctica	MARINE ECOLOGY PROGRESS SERIES												Breeding Adelie penguins forage at sea and return to land to provision their chicks, adjusting their foraging behaviour in response to environmental fluctuations over time. At Becher-vaise Island, a nesting site in an East Antarctic population, Adelie penguin diving behaviour remains undocumented. This represents a key area of uncertainty in efforts to understand and predict foraging success at this colony. We compiled a multi-year telemetry dataset from time-depth recorders deployed from 1992 to 2004 on 64 birds at Bechervaise Island. We examined diving activity at multiple scales, ranging from foraging trips (n = 125) to dive bouts (n = 3461) to individual dives (n = 84 521), and then characterised the stage- and sex-specific variation in diving behaviour of chick-rearing Adelie penguins using linear mixed effect models. Total foraging trip effort (trip duration, number of dives, vertical distance travelled and number of wiggles [a proxy for prey ingestion]) substantially increased as the chick-rearing period progressed (guard through creche), consistent with increasing chick provisioning and self-maintenance requirements over time. Foraging activity was predominantly structured in periods of sustained diving bouts, indicating sustained foraging effort over the course of the foraging trip. Diving behaviour (dive-level depth, duration, bottom time and attempts of catch per unit effort) varied in relation to sex and chick-rearing stage. Dives were performed more frequently during high and low levels of solar light, which is likely linked to visual predation strategies or prey activity. Our findings advance our understanding of this population's foraging behaviour, which is ultimately required to underpin the conservation and management of this breeding colony.				Bestley, Sophie/AAN-2483-2021; Wotherspoon, Simon J/B-2390-2013	Bestley, Sophie/0000-0001-9342-669X; Wotherspoon, Simon J/0000-0002-6947-4445												0171-8630	1616-1599				NOV 12	2020	654						177	194		10.3354/meps13519							WOS:000621236300012						
J	Prezelin, BB; Hofmann, EE; Moline, M; Klinck, JM				Prezelin, BB; Hofmann, EE; Moline, M; Klinck, JM			Physical forcing of phytoplankton community structure and primary production in continental shelf waters of the Western Antarctic Peninsula	JOURNAL OF MARINE RESEARCH												Analyses of a multidisciplinary data set, collected in continental shelf waters of the Western Antarctic Peninsula (WAP) during austral summer of January 1993, identified a previously unrecognized forcing mechanism that sets up a physical and chemical structure that supports and assures site-specific diatom-dominated communities and enhanced biological production (Prezelin et al., 2000). This forcing is active when the southern boundary of the Antarctic Circumpolar Current (ACC) flows along the shelf edge, thereby facilitating onshelf bottom intrusions of nutrient-rich Upper Circumpolar Deep Water (UCDW), which then is upwelled or mixed into the upper water column. At times or locations where UCDW is not introduced to the upper water column, diatoms no longer dominate phytoplankton assemblages over the mid- to outer WAP continental shelf. This analysis extends the area and seasons studied through similar analyses of multidisciplinary data sets collected on four additional cruises to the WAP that cover all seasons. Results show that onshelf intrusions of UCDW: (1) occur in other regions of the WAP continental shelf; (2) are episodic; (3) are forced by nonseasonal physical processes; and (4) produce areas of diatom-dominated phytoplankton assemblages and enhanced primary production. At times, multiple intrusions are observed on the WAP continental shelf, and each event may be in a different stage. Further, the occurrence of an intrusion event in one area does not necessarily imply that similar events are ongoing in other areas along the WAP shelf. The UCDW bottom intrusions originate along the outer shelf but they can extend into the inner shelf region because the deep troughs that transect the WAP shelf provide connections between the inner and outer shelf. The boundary between the intruded water and the shelf water is variable in location because of the episodic nature of the onshelf intrusions, and is moved farther inshore as an event occurs. These observations show clearly that the phytoplankton community structure on the WAP shelf is determined by physical forcing and that primary production is likely to be considerably greater than previously believed. Moreover, variability in this physical forcing, such as may occur via climate change, can potentially affect the overall biological production of the WAP continental shelf system.					Klinck, John/0000-0003-4312-5201												0022-2402	1543-9542				MAY	2004	62	3					419	460		10.1357/0022240041446173							WOS:000222859800005						
J	Santora, JA				Santora, Jarrod A.			Habitat use of hourglass dolphins near the South Shetland Islands, Antarctica	POLAR BIOLOGY												The hourglass dolphin Lagenorhynchus cruciger is the only regularly occurring small delphinid found south of the Antarctic Polar Front, yet little is known about its ecology and habitat use. This study uses 8 years (14 cruises) of standardized shipboard surveys during January-March (2003-2011) in southern Drake Passage near the South Shetland Islands to summarize the spatial distribution of hourglass dolphin sightings and quantify habitat use. Sighting data are linked to bathymetry (depth, slope) and distance to the average location of oceanographic features. A generalized linear model is used to examine the relationships between sightings and habitat features. Hourglass dolphins were sighted on 50% of surveys (n = 29); sightings were concentrated in February. Group size tended to be 2-6 individuals; there were only 2 sightings of larger groups, of 15 and 25 individuals. Sightings were distributed entirely within the deep pelagic waters north of the South Shetland Islands in southern Drake Passage and were closely associated with the southern boundary of the Antarctic Circumpolar Current. Information on occurrence and distribution reported in this study may be useful for refining habitat associations for hourglass dolphins at regional scales in the Southern Ocean.																	0722-4060					MAY	2012	35	5					801	806		10.1007/s00300-011-1133-8							WOS:000302480600015						
J	Cavanagh, RD; Melbourne-Thomas, J; Grant, SM; Barnes, DKA; Hughes, KA; Halfter, S; Meredith, MP; Murphy, EJ; Trebilco, R; Hill, SL				Cavanagh, Rachel D.; Melbourne-Thomas, Jess; Grant, Susie M.; Barnes, David K. A.; Hughes, Kevin A.; Halfter, Svenja; Meredith, Michael P.; Murphy, Eugene J.; Trebilco, Rowan; Hill, Simeon L.			Future Risk for Southern Ocean Ecosystem Services Under Climate Change (vol 7, 615214, 2021)	FRONTIERS IN MARINE SCIENCE																Simeon, Hill L/B-2307-2008														2296-7745				JUN 7	2021	8								707934	10.3389/fmars.2021.707934							WOS:000662879900001						
J	Brasier, MJ; Constable, A; Melbourne-Thomas, J; Trebilco, R; Griffiths, H; Van de Putte, A; Sumner, M				Brasier, M. J.; Constable, A.; Melbourne-Thomas, J.; Trebilco, R.; Griffiths, H.; Van de Putte, A.; Sumner, M.			Observations and models to support the first Marine Ecosystem Assessment for the Southern Ocean (MEASO)	JOURNAL OF MARINE SYSTEMS												Assessments of the status and trends of habitats, species and ecosystems are needed for effective ecosystem-based management in marine ecosystems. Knowledge on imminent ecosystem changes (climate change impacts) set in train by existing climate forcings are needed for adapting management practices to achieve conservation and sustainabililty targets into the future. Here, we describe a process for enabling a marine ecosystem assessment (MEA) by the broader scientific community to support managers in this way, using a MEA for the Southern Ocean (MEASO) as an example. We develop a framework and undertake an audit to support a MEASO, involving three parts. First, we review available syntheses and assessments of the Southern Ocean ecosystem and its parts, paying special attention to building on the SCAR Antarctic Climate Change and Environment report and the SCAR Biogeographic Atlas of the Southern Ocean. Second, we audit available field observations of habitats and densities and/or abundances of taxa, using the literature as well as a survey of scientists as to their current and recent activities. Third, we audit available system models that can form a nested ensemble for making, with available data, circumpolar assessments of habitats, species and food webs. We conclude that there is sufficient data and models to undertake, at least, a circumpolar assessment of the krill-based system. The auditing framework provides the basis for the first MEASO but also provides a repository (www.SOKI.aq/display/MEASO) for easily amending the audit for future MEASOs. We note that an important outcome of the first MEASO will not only be the assessment but also to advise on priorities in observations and models for improving subsequent MEASOs.				Griffiths, Huw J/D-4234-2009; Trebilco, Rowan/I-5311-2012; Melbourne-Thomas, Jess/G-7995-2012	Griffiths, Huw J/0000-0003-1764-223X; Trebilco, Rowan/0000-0001-9712-8016; Brasier, Madeleine/0000-0003-2844-655X; Melbourne-Thomas, Jess/0000-0001-6585-876X; Van de Putte, Anton/0000-0003-1336-5554; Sumner, Michael/0000-0002-2471-7511												0924-7963	1879-1573				SEP	2019	197								103182	10.1016/j.jmarsys.2019.05.008							WOS:000475993900002						
J	EVERSON, I; BONE, DG				EVERSON, I; BONE, DG			DETECTION OF KRILL (EUPHAUSIA-SUPERBA) NEAR THE SEA-SURFACE - PRELIMINARY-RESULTS USING A TOWED UPWARD-LOOKING ECHO-SOUNDER	BRITISH ANTARCTIC SURVEY BULLETIN																													0007-0262					AUG	1986		72					61	70									WOS:A1986D697100006						
J	Goncalves, BC; Spitzbart, B; Lynch, HJ				Goncalves, B. C.; Spitzbart, B.; Lynch, H. J.			SealNet: A fully-automated pack-ice seal detection pipeline for sub-meter satellite imagery	REMOTE SENSING OF ENVIRONMENT												Antarctic pack-ice seals, a group of four species of true seals (Phocidae), play a pivotal role in the Southern Ocean foodweb as wide-ranging predators of Antarctic krill (Euphausia superba). Due to their circumpolar distribution and the remoteness and vastness of their habitat, little is known about their population sizes. Estimating pack-ice seal population sizes and trends is key to understanding how the Southern Ocean ecosystem will react to threats such as climate change driven sea ice loss and krill fishing. We present a functional pack-ice seal detection pipeline using Worldview-3 imagery and a Convolutional Neural Network that counts and locates seal centroids. We propose a new CNN architecture that detects objects by combining semantic segmentation heatmaps with binary classification and counting by regression. Our pipeline locates over 30% of seals, when compared to consensus counts from human experts, and reduces the time required for seal detection by 95% (assuming just a single GPU). While larger training sets and continued algorithm development will no doubt improve classification accuracy, our pipeline, which can be easily adapted for other large-bodied animals visible in sub-meter satellite imagery, demonstrates the potential for machine learning to vastly expand our capacity for regular pack-ice seal surveys and, in doing so, will contribute to ongoing international efforts to monitor pack-ice seals.					Collares Goncalves, Bento/0000-0003-2595-8293												0034-4257	1879-0704				MAR 15	2020	239								111617	10.1016/j.rse.2019.111617							WOS:000518694400008						
J	Oosthuizen, WC; Reisinger, RR; Bester, MN; Steinhage, D; Auel, H; Flores, H; Knust, R; Ryan, S; Bornemann, H				Oosthuizen, W. C.; Reisinger, R. R.; Bester, M. N.; Steinhage, D.; Auel, H.; Flores, H.; Knust, R.; Ryan, S.; Bornemann, H.			Habitat-based density models of pack-ice seal distribution in the southern Weddell Sea, Antarctica	MARINE ECOLOGY PROGRESS SERIES												Climate variability and changes in sea ice dynamics have caused several ice-obligate or krill-dependent populations of marine predators to decline, eliciting concern about their demographic persistence and the indirect ecological consequences that predator depletions may have on marine ecosystems. Pack-ice seals are dominant ice-obligate predators in the Antarctic marine ecosystem, but there is considerable uncertainty about their abundance and population trends. We modelled the density and distribution of pack-ice seals as a function of environmental covariates in the southern Weddell Sea, Antarctica. Our density surface modelling approach used data from aerial surveys of pack-ice seals collected in the 2013/14 austral summer. Crabeater seals Lobodon carcinophaga, the most numerous pack-ice seal we observed, occurred at the highest densities in areas with extensive sea ice near the continental shelf break, but were almost absent in areas of similar sea ice concentration in the southern extent of the Weddell Sea. The highest densities of Weddell seals Leptonychotes weddelli, which were less abundant than crabeater seals within the pack-ice habitat, were predicted to occur over the continental shelf, near the shelf break. The distribution of both seal species broadly corresponded with the distribution and relative abundance of their main prey (Antarctic krill Euphausia superba and Antarctic silverfish Pleuragramma antarctica) obtained from concurrent ecosystem surveys. Ross seals Ommatophoca rossii and leopard seals Hydrurga leptonyx were not detected at all and are apparently rare within the southern Weddell Sea. These results can contribute to biodiversity assessments in the context of marine protected area planning in this region of the Southern Ocean.				Flores, Hauke/ABD-1888-2020	Flores, Hauke/0000-0003-1617-5449												0171-8630	1616-1599				SEP 2	2021	673						211	227		10.3354/meps13787							WOS:000693696300015						
J	Dorman, JG; Sydeman, WJ; Bograd, SJ; Powell, TM				Dorman, Jeffrey G.; Sydeman, William J.; Bograd, Steven J.; Powell, Thomas M.			An individual-based model of the krill Euphausia pacifica in the California Current	PROGRESS IN OCEANOGRAPHY												Euphausia pacifica is an abundant and important prey resource for numerous predators of the California Current and elsewhere in the North Pacific. We developed an individual-based model (IBM) for E. pacifica to study its bioenergetics (growth, stage development, reproduction, and mortality) under constant/ideal conditions as well as under varying ocean conditions and food resources. To model E. pacifica under varying conditions, we coupled the IBM to an oceanographic-ecosystem model over the period 2000-2008 (9 years). Model results under constant/ideal food conditions compare favorably with experimental studies conducted under food unlimited conditions. Under more realistic variable oceanographic conditions, mean growth rates over the continental shelf were positive only when individuals migrated diurnally to the depth of maximum phytoplankton layer during nighttime feeding. Our model only used phytoplankton as prey and coastal growth rates were lower than expected (0.01 mm d(-1)), suggesting that a diverse prey base (zooplankton, protists, marine snow) may be required to facilitate growth and survival of modeled E. pacifica in the coastal environment. This coupled IBM-ROMS modeling framework and its parameters provides a tool for understanding the biology and ecology of E. pacifica and could be developed to further the understanding of climatic effects on this key prey species and enhance an ecosystem approach to fisheries and wildlife management in this region. (C) 2015 Elsevier Ltd. All rights reserved.				Bograd, Steven/AAA-4824-2021													0079-6611					NOV	2015	138		B		SI		504	520		10.1016/j.pocean.2015.02.006							WOS:000367107000013						
